Repo,Release,Filename,SHA,Revision
en_tw,v9,kt/anoint.md,17c164f9867898080cb1014ba19111e93b6377f9,3
en_tw,v11,kt/anoint.md,92da3e62e579c47465a1b7c1f4c9e384292f96b9,4
en_tw,v12,kt/anoint.md,f2b0fd850107b5c3eb845a076a6f7dd8519c9282,5
en_tw,v20,kt/anoint.md,550d7520ed05a48b839f29058fc480bcd2dfbae6,6
en_tw,v22,kt/anoint.md,3240c5ad204474f5f411fee44bf870eca756abc9,7
en_tw,ver6,kt/antichrist.md,874a6857bfb46a9522e241b8cde2280b08862935,1
en_tw,v7,kt/antichrist.md,75d0e8cbb5958b2cbd02bd2135f7244235de2136,2
en_tw,v9,kt/antichrist.md,0584460a187afcc9799fa1014ac2aa3d00d9ecc3,3
en_tw,v10,kt/antichrist.md,9a00114903b56b9113550ecd015c593824e266f2,4
en_tw,v11,kt/antichrist.md,ce1172ca95c797763c39285465c052e5a79aad57,5
en_tw,v22,kt/antichrist.md,d628c91879b05365f9dc5ad8fe82cb8120b8fe92,6
en_tw,ver6,kt/apostle.md,5e6e4054ff22cfd97f66608278da8c37dcf3d5d5,1
en_tw,v7,kt/apostle.md,c246128e7b6f2735aa474944225393da2348058f,2
en_tw,v10,kt/apostle.md,9578a0c1e5be6565c90d34efb5f516e6fc220034,3
en_tw,v11,kt/apostle.md,965f576204df3560f95ebc7528f2b517cbda2c22,4
en_tw,v18,kt/apostle.md,b923b398c8c76b585175d9ec3fb858753088b881,5
en_tw,v22,kt/apostle.md,48cdaa7c28ee77dc9ac14c52f047beb791db9e5e,6
en_tw,ver6,kt/appoint.md,bfe53c25def19c12b16698993bd4fa935af2e212,1
en_tw,v7,kt/appoint.md,e1ffc9555e5623350e6574940b75e45865af87bb,2
en_tw,v9,kt/appoint.md,6fff65c44da64809bc4645d98738e0795d74cfc5,3
en_tw,v10,kt/appoint.md,48996772017eadbda8b0ce8e532a7f185e845faf,4
en_tw,v11,kt/appoint.md,f22ca4341ba2a1fb911b84472397696c9e23b159,5
en_tw,v15,kt/appoint.md,483be10a115bd3993aee57deef22354f814e687e,6
en_tw,v18,kt/appoint.md,318da982042a36c58f28174f0f1caa3afe8df09b,7
en_tw,v22,kt/appoint.md,af23ef97494d5a14e6587f9335e1a4f847606b4b,8
en_tw,ver6,kt/ark.md,e0594388ac16a549e9259ffe71c31274a8fe68c2,1
en_tw,v7,kt/ark.md,e6d52c7e911bbaf4d33d2371889f3f393364b95c,2
en_tw,v8,kt/ark.md,f959e8b02a3f9ffeeb336ce6fddf4a2ca5a6304a,3
en_tw,v9,kt/ark.md,409a0f7689886b0884310b6efb038a04528242e1,4
en_tw,v11,kt/ark.md,bfa4d871ff6c75deba0df9e306cbad85378b8fa1,5
en_tw,v22,kt/ark.md,93d2219036d1445cce8380d4903c042abf6f7180,6
en_tw,ver6,kt/arkofthecovenant.md,7a7f0af399d490f5d55bc0f18ddd76e033759b1e,1
en_tw,v7,kt/arkofthecovenant.md,2ddc517d9790f477055a8d0ca6e55e38956256cf,2
en_tw,v8,kt/arkofthecovenant.md,5ea53fd5c6429cbcd8f5e6d40ac20133d6e5ea35,3
en_tw,v9,kt/arkofthecovenant.md,9edf7833f4981f7f637b045c890ed614aa490d5b,4
en_tw,v11,kt/arkofthecovenant.md,edb019b653cdcd1c63e43adfb93c1c992898158d,5
en_tw,v22,kt/arkofthecovenant.md,95f442d3947c75af4791efca7771f0cb5ae867a9,6
en_tw,ver6,kt/atonement.md,729693ec4497e9e640ff1e14813ea21803610a19,1
en_tw,v7,kt/atonement.md,b648b623211bc1a07e6c48a653c8bc5fb074f2d3,2
en_tw,v9,kt/atonement.md,a89c32f22050e6202735cab145d1a7bf813187fa,3
en_tw,v10,kt/atonement.md,efcced8ef9167c8029cd9bb93267cc7befe6cf11,4
en_tw,v11,kt/atonement.md,b558269187322c75cf836f2fdb4a0d534d2517d7,5
en_tw,v22,kt/atonement.md,63b750aaab573ca6673d2cf78c1d98b087190e55,6
en_tw,ver6,kt/atonementlid.md,e6aeb8d31ab7c8fef74fa7bee6f05626a4cbe3ff,1
en_tw,v7,kt/atonementlid.md,c528f38a81cadf40f6c7e4fc10deebe236848d02,2
en_tw,v9,kt/atonementlid.md,f704310dda64062cafa06cb40c18711946ba4204,3
en_tw,v11,kt/atonementlid.md,90751493c1706a1e928a1140662391e644ecc46e,4
en_tw,v22,kt/atonementlid.md,8bc9442c6f3d73946eed22179473a1780e6eb6a4,5
en_tw,ver6,kt/authority.md,efbd5febdd480d2f35e9bc5ef334044a9e21d41b,1
en_tw,v7,kt/authority.md,c36da8111799e8febdcc7fe1f57ae6174c8b5055,2
en_tw,v8,kt/authority.md,74dbe3d129a7c3cc1d362cdf22fab92feb501a80,3
en_tw,v9,kt/authority.md,b6abdf4a91d5b063af0841dc0fb10d16d260b6fe,4
en_tw,v10,kt/authority.md,0adbd359aa75455122a6eda7f5a77ad0fca2b5da,5
en_tw,v11,kt/authority.md,4b28a88c95bbe162ab1eeb4faa87a7037c8a2e35,6
en_tw,v15,kt/authority.md,edf21e471da5f378869543134f6eaa5d583205ee,7
en_tw,v18,kt/authority.md,f77ed522234a4a5d0a8c5da8bf78a317dcf62647,8
en_tw,v20,kt/authority.md,baaa0ac8e68843998b3d5b13123b72a2bd93854a,9
en_tw,v22,kt/authority.md,25357267ebdeae47265cc7c9153860e6243fe4bb,10
en_tw,ver6,kt/baptize.md,fdae69f92a22465fc41f8d4b090285ef1d5a14e0,1
en_tw,v7,kt/baptize.md,e9d49ce0dfd3ae8c5e5445a844a3bd232059b3f8,2
en_tw,v9,kt/baptize.md,92e199f9317466c0268806930baecc79465f4616,3
en_tw,v11,kt/baptize.md,ba85f7c9fb4e68c67a0496099dc3202ed415daef,4
en_tw,v12,kt/baptize.md,c2c121bb9d606c561f17e37365854ae30e9750bd,5
en_tw,v18,kt/baptize.md,8b7e2a6c4bc6798f1627dea1cd594f925d8afcce,6
en_tw,v20,kt/baptize.md,b02834c48a7c70315a07b2a533dafe813c99c39f,7
en_tw,v22,kt/baptize.md,1e2b2cf3bcfabe9f41e68c1bcb98ebde3cac6326,8
en_tw,ver6,kt/believe.md,01bcccc89ebe9f6981c8c8dc5251638b767715db,1
en_tw,v7,kt/believe.md,2cc4170973a84dba32cd60a43cd38a3875183ca3,2
en_tw,v9,kt/believe.md,172f8af6e73f384c7c82519fbb2dd8c1aa027150,3
en_tw,v10,kt/believe.md,bff6f1a4a4736fa5c21bbc47bea8105729cffbb4,4
en_tw,v11,kt/believe.md,70ae35126c0761be95c0f6bce44e6db35d248fce,5
en_tw,v12,kt/believe.md,8987ff21b763a837c5989f024f490be0eca4a0f0,6
en_tw,v18,kt/believe.md,00519b55aa85c161acb3fb4604a259fbabcfb81f,7
en_tw,v21,kt/believe.md,e4917f85a88a6384c20e020cd0e665953e088fdf,8
en_tw,v22,kt/believe.md,c3e10cae25e8586f759387c1d7d29b80c99f390c,9
en_tw,ver6,kt/believer.md,8625fbf7416aa277f3cbde844392d62c2b1c63ac,1
en_tw,ver6,kt/beloved.md,8dd10863582b655f77c53a6051f0dc916f7115c9,1
en_tw,v7,kt/beloved.md,e72c5162bbbbf995fd4dd72879752e74c2542348,2
en_tw,v9,kt/beloved.md,792313be962d0c9a11e66784fa9988f51c91de8e,3
en_tw,v11,kt/beloved.md,7b8c76cd074a4cd91c905e4eca8f02f362bd3304,4
en_tw,v22,kt/beloved.md,0f20835243869c6e6f7b46cf5d362af9f06c59bc,5
en_tw,ver6,kt/birthright.md,fcee8ed4444e9dd9abee0f69d866d8c189e3fbaf,1
en_tw,v7,kt/birthright.md,3af0881db4e5336dd97445c81cb15a729b4474fc,2
en_tw,v9,kt/birthright.md,2e4f9df61330b542182aeebac721001ab5e402d3,3
en_tw,v11,kt/birthright.md,fc03a2e486ad13a78d0ecd2be60883b5c35ac53f,4
en_tw,v18,kt/birthright.md,bde33870c69145f6da9111a1b9c7dc55aafabd45,5
en_tw,v22,kt/birthright.md,79df1d01554fa46ee695f721cd9711338a480e60,6
en_tw,ver6,kt/blameless.md,cf7a8562e3d1e3d03b2a5e87664c1439bed92e92,1
en_tw,v7,kt/blameless.md,0ed5e99e92efae157d13ad96523d84794b553ad7,2
en_tw,v9,kt/blameless.md,159d7c4eb41125c15306bd1e4b7c03985e91b18c,3
en_tw,v11,kt/blameless.md,746d1586983f40aafe11f7e167e4724d4f65e2dd,4
en_tw,v22,kt/blameless.md,83e98e18fe46a1b09ba07d5bece66bd88d6d76e8,5
